run_id,model,family,params_b,setting,task,prompt_tier,metric_name,metric_value,n_examples,seed
20260701_220101_falcon_h1_15b_E0-REF_nq_open_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E0-REF,nq_open,P1,em,2.3055,200,42
20260701_231534_falcon_h1_15b_E0-REF_nq_open_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E0-REF,nq_open,P2,em,1.909,200,42
20260702_003542_falcon_h1_15b_E0-REF_nq_open_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E0-REF,nq_open,P3,em,2.0335,200,42
20260630_230001_falcon_h1_15b_E0-REF_squad_v2_dev,falcon_h1_15b,Falcon-H1,1.5,E0-REF,squad_v2,P0,em,49.6823,200,42
20260701_220002_falcon_h1_15b_E0-REF_squad_v2_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E0-REF,squad_v2,P1,em,23.8155,200,42
20260701_231432_falcon_h1_15b_E0-REF_squad_v2_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E0-REF,squad_v2,P2,em,5.2118,200,42
20260702_004957_falcon_h1_15b_E0-REF_squad_v2_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E0-REF,squad_v2,P3,em,5.0815,200,42
20260630_231221_falcon_h1_15b_E0-REF_truthfulqa_mc1_dev,falcon_h1_15b,Falcon-H1,1.5,E0-REF,truthfulqa_mc1,P0,acc,57.0,200,42
20260701_220310_falcon_h1_15b_E0-REF_truthfulqa_mc1_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E0-REF,truthfulqa_mc1,P1,acc,57.5,200,42
20260701_231619_falcon_h1_15b_E0-REF_truthfulqa_mc1_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E0-REF,truthfulqa_mc1,P2,acc,42.0,200,42
20260702_003546_falcon_h1_15b_E0-REF_truthfulqa_mc1_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E0-REF,truthfulqa_mc1,P3,acc,46.5,200,42
20260701_000507_falcon_h1_15b_E1-INT8_halueval_general_dev,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,halueval_general,P0,acc,48.0,200,42
20260701_000335_falcon_h1_15b_E1-INT8_halueval_qa_dev,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,halueval_qa,P0,acc,46.5,200,42
20260701_000049_falcon_h1_15b_E1-INT8_nq_open_dev,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,nq_open,P0,em,8.832,200,42
20260702_080325_falcon_h1_15b_E1-INT8_nq_open_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,nq_open,P1,em,2.1574,200,42
20260702_105740_falcon_h1_15b_E1-INT8_nq_open_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,nq_open,P2,em,1.8417,200,42
20260702_133022_falcon_h1_15b_E1-INT8_nq_open_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,nq_open,P3,em,1.9931,200,42
20260630_235914_falcon_h1_15b_E1-INT8_squad_v2_dev,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,squad_v2,P0,em,50.4773,200,42
20260702_075927_falcon_h1_15b_E1-INT8_squad_v2_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,squad_v2,P1,em,24.3155,200,42
20260702_105107_falcon_h1_15b_E1-INT8_squad_v2_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,squad_v2,P2,em,5.1558,200,42
20260702_132242_falcon_h1_15b_E1-INT8_squad_v2_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,squad_v2,P3,em,4.9522,200,42
20260701_000322_falcon_h1_15b_E1-INT8_truthfulqa_mc1_dev,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,truthfulqa_mc1,P0,acc,56.5,200,42
20260702_080745_falcon_h1_15b_E1-INT8_truthfulqa_mc1_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,truthfulqa_mc1,P1,acc,60.0,200,42
20260702_110216_falcon_h1_15b_E1-INT8_truthfulqa_mc1_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,truthfulqa_mc1,P2,acc,40.0,200,42
20260702_133210_falcon_h1_15b_E1-INT8_truthfulqa_mc1_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E1-INT8,truthfulqa_mc1,P3,acc,46.0,200,42
20260701_103445_falcon_h1_15b_E2-Q8_halueval_general_dev,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,halueval_general,P0,acc,42.0,200,42
20260701_053054_falcon_h1_15b_E2-Q8_halueval_qa_dev,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,halueval_qa,P0,acc,52.0,200,42
20260701_001333_falcon_h1_15b_E2-Q8_nq_open_dev,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,nq_open,P0,em,5.1778,200,42
20260701_213648_falcon_h1_15b_E2-Q8_nq_open_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,nq_open,P1,em,1.4345,200,42
20260702_021846_falcon_h1_15b_E2-Q8_nq_open_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,nq_open,P2,em,1.4593,200,42
20260702_045300_falcon_h1_15b_E2-Q8_nq_open_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,nq_open,P3,em,0.8002,200,42
20260701_001333_falcon_h1_15b_E2-Q8_squad_v2_dev,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,squad_v2,P0,em,41.818,200,42
20260701_213649_falcon_h1_15b_E2-Q8_squad_v2_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,squad_v2,P1,em,35.944,200,42
20260702_021716_falcon_h1_15b_E2-Q8_squad_v2_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,squad_v2,P2,em,2.9038,200,42
20260702_045224_falcon_h1_15b_E2-Q8_squad_v2_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,squad_v2,P3,em,2.1057,200,42
20260701_001333_falcon_h1_15b_E2-Q8_truthfulqa_mc1_dev,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,truthfulqa_mc1,P0,acc,46.5,200,42
20260701_213648_falcon_h1_15b_E2-Q8_truthfulqa_mc1_dev_P1,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,truthfulqa_mc1,P1,acc,25.0,200,42
20260702_021859_falcon_h1_15b_E2-Q8_truthfulqa_mc1_dev_P2,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,truthfulqa_mc1,P2,acc,35.0,200,42
20260702_045630_falcon_h1_15b_E2-Q8_truthfulqa_mc1_dev_P3,falcon_h1_15b,Falcon-H1,1.5,E2-Q8,truthfulqa_mc1,P3,acc,25.5,200,42
20260701_103445_falcon_h1_15b_E3-Q5_halueval_general_dev,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,halueval_general,P0,acc,38.0,200,42
20260701_103445_falcon_h1_15b_E3-Q5_halueval_qa_dev,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,halueval_qa,P0,acc,53.5,200,42
20260701_001713_falcon_h1_15b_E3-Q5_nq_open_dev,falcon_h1_15b,Falcon-H1,1.5,E3-Q5,nq_open,P0,em,3.353,200,42
