task,run_id,model_key,setting,prompt_tier,dataset,split,num_examples,primary_metric_name,primary_metric,exact_match,f1,prompt_acc,instr_acc,mtbench_score,instruction_level_acc,has_ans_exact_match,has_ans_f1,no_ans_exact_match,no_ans_f1,valid_scores,empty_responses,latency_ms_mean,decode_chars_per_s_mean,judge_model
task_eval,20260630_223731_falcon_h1_tiny_90m_E0-REF_nq_open_dev,falcon_h1_tiny_90m,E0-REF,P0,nq_open,dev,200,f1,0.01945028160581637,0.0,0.01945028160581637,,,,,,,,,,,3049.47178636794,94.24543554051856,
task_eval,20260630_223732_falcon_h1_tiny_90m_E0-REF_halueval_general_dev,falcon_h1_tiny_90m,E0-REF,P0,halueval_general,dev,200,f1,0.79,0.79,0.79,,,,,,,,,,,581.6701577673666,33.33361477056111,
task_eval,20260630_223732_falcon_h1_tiny_90m_E0-REF_halueval_qa_dev,falcon_h1_tiny_90m,E0-REF,P0,halueval_qa,dev,200,f1,0.475,0.475,0.475,,,,,,,,,,,769.7805711464025,34.07065723454877,
task_eval,20260630_223732_falcon_h1_tiny_90m_E0-REF_squad_v2_dev,falcon_h1_tiny_90m,E0-REF,P0,squad_v2,dev,200,f1,0.31481886243045937,0.265,0.31481886243045937,,,,,0.04950495049504951,0.14815616322863245,0.48484848484848486,0.48484848484848486,,,1885.521923971828,84.96523847089495,
task_eval,20260630_223732_falcon_h1_tiny_90m_E0-REF_truthfulqa_mc1_dev,falcon_h1_tiny_90m,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.215,0.215,0.215,,,,,,,,,,,4632.740487916162,100.57108651802253,
task_eval,20260630_223733_smollm2_360m_E0-REF_nq_open_dev,smollm2_360m,E0-REF,P0,nq_open,dev,200,f1,0.05574584203241606,0.0,0.05574584203241606,,,,,,,,,,,584.6228146750946,140.54304801322675,
task_eval,20260630_223733_smollm2_360m_E0-REF_squad_v2_dev,smollm2_360m,E0-REF,P0,squad_v2,dev,200,f1,0.17735491264112707,0.06,0.17735491264112707,,,,,0.07920792079207921,0.3115938864180734,0.04040404040404041,0.04040404040404041,,,584.8648842039984,154.87138319452694,
task_eval,20260630_223933_gemma3_1b_E2-Q8_squad_v2_dev,gemma3_1b,E2-Q8,P0,squad_v2,dev,200,f1,0.46085841694537344,0.45,0.46085841694537344,,,,,0.019801980198019802,0.04130379593143261,0.8888888888888888,0.8888888888888888,,,11312.173875794979,4.09373637761959,
task_eval,20260630_223944_falcon_h1_05b_E0-REF_halueval_general_dev,falcon_h1_05b,E0-REF,P0,halueval_general,dev,200,f1,0.76,0.76,0.76,,,,,,,,,,,4616.030860330211,74.0693743832276,
task_eval,20260630_223944_falcon_h1_05b_E0-REF_halueval_qa_dev,falcon_h1_05b,E0-REF,P0,halueval_qa,dev,200,f1,0.505,0.505,0.505,,,,,,,,,,,4326.495787679451,65.7493731074562,
task_eval,20260630_223944_falcon_h1_05b_E0-REF_truthfulqa_mc1_dev,falcon_h1_05b,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.405,0.405,0.405,,,,,,,,,,,658.2364543713629,28.40534172311844,
task_eval,20260630_224019_qwen25_05b_E0-REF_squad_v2_dev,qwen25_05b,E0-REF,P0,squad_v2,dev,200,f1,0.16802039448724185,0.035,0.16802039448724185,,,,,0.0594059405940594,0.31054997418652247,0.010101010101010102,0.02261142933949086,,,746.2959040864371,211.60556804291326,
task_eval,20260630_224207_qwen25_05b_E0-REF_nq_open_dev,qwen25_05b,E0-REF,P0,nq_open,dev,200,f1,0.05344710890717513,0.005,0.05344710890717513,,,,,,,,,,,760.7338176004123,196.1342725605018,
task_eval,20260630_224259_qwen25_05b_E0-REF_truthfulqa_mc1_dev,qwen25_05b,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.24,0.24,0.24,,,,,,,,,,,49.72634878358804,21.28903045511851,
task_eval,20260630_224321_qwen25_05b_E0-REF_halueval_qa_dev,qwen25_05b,E0-REF,P0,halueval_qa,dev,200,f1,0.475,0.475,0.475,,,,,,,,,,,50.76768286060542,41.800555845693886,
task_eval,20260630_224344_qwen25_05b_E0-REF_halueval_general_dev,qwen25_05b,E0-REF,P0,halueval_general,dev,200,f1,0.8,0.8,0.8,,,,,,,,,,,49.862016714178026,42.520260006522726,
task_eval,20260630_224404_falcon_h1_tiny_r_06b_E0-REF_nq_open_dev,falcon_h1_tiny_r_06b,E0-REF,P0,nq_open,dev,200,f1,0.010552958840894515,0.0,0.010552958840894515,,,,,,,,,,,9161.190857659094,51.794541508829184,
task_eval,20260630_224404_falcon_h1_tiny_r_06b_E0-REF_squad_v2_dev,falcon_h1_tiny_r_06b,E0-REF,P0,squad_v2,dev,200,f1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,9627.833237276645,55.167728275740714,
task_eval,20260630_224451_falcon_h1_tiny_r_06b_E0-REF_truthfulqa_mc1_dev,falcon_h1_tiny_r_06b,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.22,0.22,0.22,,,,,,,,,,,9034.556799068814,54.70587812355645,
task_eval,20260630_224604_falcon_h1_05b_E0-REF_nq_open_dev,falcon_h1_05b,E0-REF,P0,nq_open,dev,200,f1,0.04508896930260069,0.0,0.04508896930260069,,,,,,,,,,,1839.2690846067853,58.85476633788782,
task_eval,20260630_224604_smollm2_360m_E0-REF_halueval_general_dev,smollm2_360m,E0-REF,P0,halueval_general,dev,200,f1,0.32,0.32,0.32,,,,,,,,,,,110.39923370932229,50.231860677654886,
task_eval,20260630_224604_smollm2_360m_E0-REF_halueval_qa_dev,smollm2_360m,E0-REF,P0,halueval_qa,dev,200,f1,0.53,0.53,0.53,,,,,,,,,,,62.19310324173421,50.86300344633076,
task_eval,20260630_224604_smollm2_360m_E0-REF_truthfulqa_mc1_dev,smollm2_360m,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.235,0.235,0.235,,,,,,,,,,,331.1777913453989,137.10300060632784,
task_eval,20260630_224634_gemma3_1b_E4-Q4_squad_v2_dev,gemma3_1b,E4-Q4,P0,squad_v2,dev,200,f1,0.4990779494257755,0.475,0.4990779494257755,,,,,0.06930693069306931,0.1169860384668822,0.8888888888888888,0.8888888888888888,,,11534.340547692263,3.8639079875950055,
task_eval,20260630_224801_gemma3_1b_E0-REF_nq_open_dev,gemma3_1b,E0-REF,P0,nq_open,dev,200,f1,0.0751120096144763,0.01,0.0751120096144763,,,,,,,,,,,789.4371649145614,99.64956773650694,
task_eval,20260630_225054_gemma3_1b_E0-REF_truthfulqa_mc1_dev,gemma3_1b,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.255,0.255,0.255,,,,,,,,,,,124.82374506536871,8.206171550838544,
task_eval,20260630_225133_gemma3_1b_E0-REF_halueval_qa_dev,gemma3_1b,E0-REF,P0,halueval_qa,dev,200,f1,0.445,0.445,0.445,,,,,,,,,,,247.18693403410725,21.720516891811798,
task_eval,20260630_225237_gemma3_1b_E0-REF_halueval_general_dev,gemma3_1b,E0-REF,P0,halueval_general,dev,200,f1,0.595,0.595,0.595,,,,,,,,,,,112.41677343146876,22.220338744533187,
task_eval,20260630_225316_falcon_h1_tiny_90m_E1-INT8_halueval_general_dev,falcon_h1_tiny_90m,E1-INT8,P0,halueval_general,dev,200,f1,0.79,0.79,0.79,,,,,,,,,,,3303.0286335758865,12.372541543628216,
